                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4906,                 1.9491,                 2.8639,                0.82492,                0.94232,                0.97608,                0.67772,                 1.0258,                 2.4594,                 2.5248,             0.00064865,             0.00064865,             0.00064865
                      2,                 1.1122,                 1.0638,                  2.414,                0.89102,                0.96193,                0.97426,                0.69261,                  1.061,                 1.1847,                 2.6488,              0.0011851,              0.0011851,              0.0011851
                      3,                 1.0678,                 0.9195,                 2.2837,                0.92029,                0.95078,                0.98167,                0.73419,                0.94093,                0.86858,                 2.0425,              0.0015895,              0.0015895,              0.0015895
                      4,                  0.996,                0.78388,                 2.2375,                0.96242,                0.96471,                0.98749,                0.75859,                0.94095,                0.67955,                  2.272,               0.001406,               0.001406,               0.001406
                      5,                0.98004,                0.76196,                 2.2926,                0.96413,                0.94876,                0.98493,                0.78007,                0.88451,                 0.6792,                  2.155,               0.001406,               0.001406,               0.001406
                      6,                0.92916,                 0.6922,                 2.1171,                0.95198,                      1,                0.99351,                0.79812,                0.80398,                0.58575,                 2.4147,               0.001208,               0.001208,               0.001208
                      7,                0.88678,                0.64849,                 2.0918,                  0.974,                0.98824,                0.99034,                0.77883,                 0.8176,                0.61433,                 2.3311,                0.00101,                0.00101,                0.00101
                      8,                0.83244,                0.61713,                 2.0902,                0.97424,                0.96471,                0.99286,                0.82094,                0.72267,                0.51904,                 2.2989,               0.000812,               0.000812,               0.000812
                      9,                0.81654,                 0.5916,                 2.0308,                0.95066,                0.96471,                0.98431,                0.79499,                0.77474,                0.55427,                 2.0257,               0.000614,               0.000614,               0.000614
                     10,                0.80944,                0.57659,                 2.0274,                0.96068,                0.98824,                0.99325,                0.83188,                0.68216,                0.50701,                 2.0648,               0.000416,               0.000416,               0.000416
